"","AL0D_1_GLbulkRNAseq_sub","AL0D_2_GLbulkRNAseq_sub","AL0D_3_GLbulkRNAseq_sub","AL0D_4_GLbulkRNAseq_sub","AL0D_5_GLbulkRNAseq_sub","AL0R_1_GLbulkRNAseq_sub","AL0R_2_GLbulkRNAseq_sub","AL0R_3_GLbulkRNAseq_sub","AL0R_4_GLbulkRNAseq_sub","AL0R_5_GLbulkRNAseq_sub","AL40D_1_GLbulkRNAseq_sub","AL40D_2_GLbulkRNAseq_sub","AL40D_3_GLbulkRNAseq_sub","AL40D_4_GLbulkRNAseq_sub","AL40D_5_GLbulkRNAseq_sub","AL40R_1_GLbulkRNAseq_sub","AL40R_2_GLbulkRNAseq_sub","AL40R_3_GLbulkRNAseq_sub","AL40R_4_GLbulkRNAseq_sub","W0D_1_GLbulkRNAseq_sub","W0D_2_GLbulkRNAseq_sub","W0D_3_GLbulkRNAseq_sub","W0D_4_GLbulkRNAseq_sub","W0D_5_GLbulkRNAseq_sub","W0R_1_GLbulkRNAseq_sub","W0R_2_GLbulkRNAseq_sub","W0R_3_GLbulkRNAseq_sub","W0R_4_GLbulkRNAseq_sub","W0R_5_GLbulkRNAseq_sub","W40D_1_GLbulkRNAseq_sub","W40D_2_GLbulkRNAseq_sub","W40D_3_GLbulkRNAseq_sub","W40D_4_GLbulkRNAseq_sub","W40D_5_GLbulkRNAseq_sub","W40R_1_GLbulkRNAseq_sub","W40R_2_GLbulkRNAseq_sub","W40R_3_GLbulkRNAseq_sub","W40R_4_GLbulkRNAseq_sub","W40R_5_GLbulkRNAseq_sub"
"Bra000039",0,0,0,0,0,0,0,0,0,0,0,0,5.82,0,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64
"Bra000040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000041",0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000042",0,0,0,0,0,18.56,0,0,0,0,0,0,0,19.35,0,16.47,0,0,0,0,0,0,0,0,0,0,16.86,0,22.52,13.46,6.54,0,5.91,18.03,0,0,0,0,12.51
"Bra000043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0
"Bra000044",0,0,0,0,0,0,0,0,0,0,1.58,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,3.1,0
"Bra000045",0,0,0,14.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000047",66.17,170.62,215.73,37.2,0,30.52,41.64,38.78,0,100.17,127.6,165.25,60.37,15.92,149.43,6.78,88.27,57.23,33.17,124.61,35.05,92.46,73.55,70,24.1,47.35,27.89,14.22,36.94,55.3,156.41,159.4,190.41,29.76,17.83,24.86,42.43,25.74,23.97
"Bra000048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0
