,AL0D_1_GLbulkRNAseq_sub,AL0D_2_GLbulkRNAseq_sub,AL0D_3_GLbulkRNAseq_sub,AL0D_5_GLbulkRNAseq_sub,AL0R_1_GLbulkRNAseq_sub,AL0R_2_GLbulkRNAseq_sub,AL0R_3_GLbulkRNAseq_sub,AL0R_4_GLbulkRNAseq_sub,AL40D_1_GLbulkRNAseq_sub,AL40D_2_GLbulkRNAseq_sub,AL40D_3_GLbulkRNAseq_sub,AL40D_5_GLbulkRNAseq_sub,AL40R_1_GLbulkRNAseq_sub,AL40R_2_GLbulkRNAseq_sub,AL40R_3_GLbulkRNAseq_sub,AL40R_4_GLbulkRNAseq_sub,W0D_1_GLbulkRNAseq_sub,W0D_2_GLbulkRNAseq_sub,W0D_3_GLbulkRNAseq_sub,W0D_4_GLbulkRNAseq_sub,W0R_1_GLbulkRNAseq_sub,W0R_2_GLbulkRNAseq_sub,W0R_3_GLbulkRNAseq_sub,W0R_5_GLbulkRNAseq_sub,W40D_1_GLbulkRNAseq_sub,W40D_2_GLbulkRNAseq_sub,W40D_4_GLbulkRNAseq_sub,W40D_5_GLbulkRNAseq_sub,W40R_2_GLbulkRNAseq_sub,W40R_4_GLbulkRNAseq_sub,W40R_5_GLbulkRNAseq_sub
Bra025660,4,2,3,1,0,1,3,6,1,2,7,0,3,0,2,5,4,1,1,3,1,0,1,0,1,3,12,3,3,5,10
Bra025661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025662,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025663,7,4,14,5,6,2,11,15,2,3,1,5,6,2,9,4,18,10,7,11,35,9,12,15,14,33,39,7,5,30,60
Bra025664,2,0,0,0,0,0,1,0,2,3,1,1,0,1,2,0,1,1,2,1,4,0,3,1,0,7,5,3,1,1,0
Bra025665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4
Bra025667,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025668,2,0,7,11,3,2,15,2,1,7,19,9,6,5,5,10,6,5,12,10,13,7,2,15,10,4,2,2,4,13,27
Bra025669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025671,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
Bra025672,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,1
Bra025673,0,0,0,0,0,2,5,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,4,0,0,0,0,8,10,2
Bra025674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bra025675,0,1,2,0,0,1,0,1,1,0,1,1,1,0,3,1,1,1,0,1,0,0,0,0,0,3,1,0,2,1,3
Bra025676,0,0,2,0,0,2,0,1,1,0,2,1,0,0,3,1,1,0,0,0,0,2,0,1,0,0,7,3,0,0,0
Bra025677,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,3,1,1,0,1,2
Bra025678,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Bra025679,0,0,1.5,0,0,0,0,0.5,0,0,0,0.65,0,0,0,0,0,0.5,0,0,0,0,0,1,0.5,0.5,0.59,0,0,0,0
Bra025681,4,2,15,16,9,13,14,11,6,3,13,4,11,16,8,26,9,10,13,4,3,17,3,30,6,2,3,15,10,16,17
Bra025682,0,1,0,0,0,2,0,2,7,3,0,3,0,1,4,0,7,1,3,2,0,1,5,0,1,3,14,2,1.47,0,1
Bra025683,1,4,4,2,3,9,4,9,9,3,5,3,5,2,8,3,4,1,4,5,8,2,4,6,3,5,8,4,1,5,6
Bra025684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0,0,0,0,4,1,0,1,0,0
Bra025685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bra025687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025688,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025690,5,3,8,1,1,5,5,5,3,10,3,7,2,0,1,6,8,4,3,7,2,4,0,0,5,35,18,3,6,7,24
Bra025691,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,7
Bra025692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bra025693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025694,0,1,1,0,1,0,3,1,1,0,1,0,2,0,0,2,0,1,1,2,1,0,0,4,1,3,0,0,0,1,5
Bra025695,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025696,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,2,2
Bra025697,0,1,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,5,0,1,0,0
Bra025698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025701,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
Bra025702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0
Bra025703,2,1,1,1,1,2,0,2,2,2,3,3,1,1,2,1,5,0,0,2,4,4,5,3,1,8,9,2,3,1,11
Bra025704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bra025708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bra025709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025710,4,3,2,0,1,2,2,2,3,2,0,1,1,3,0,2,3,2,1,1,0,1,0,0,1,7,9,4,2,0,2
Bra025711,0,1,1,0,0,3,1,2,0,0,2,0,0,0,0,1,3,1,2,1,1,0,0,0,1,2,4,1,3,3,5
Bra025712,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025713,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Bra025714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Bra025715,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0
Bra025716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025719,0,1,1,1,2,1,2,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,4,0,2,0,2,1,2
Bra025720,10,1,6,5,1,4,1,2,3,4,1,2,1,0,2,0,2,2,3,5,1,1,0,1,3,6,14,3,4,2,16
Bra025721,3,4,0,1,0,1,0,2,1,0,5,2,0,0,1,1,0,0,1,1,3,1,0,2,5,3,2,0,0,0,2
Bra025722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Bra025724,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Bra025725,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,2,0,3,0,2,0,0,1,1
Bra025726,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,1,3,3,3,4,4,0,1,1,3,1,0,3,5,4
Bra025727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3
Bra025728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bra025729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025730,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Bra025731,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Bra025732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bra025733,0,1,1,0,0,1,0,1,0,4,1,0,0,0,1,1,4,1,3,0,1,2,1,0,1,2,6,3,3,1,0
Bra025734,2,4,2,0,1,0,1,1,3,1,2,0,2,3,2,0,0,1,8,0,5,0,2,11,1,5,4,2,6,11,5
Bra025735,1,0,3,2,0,0,4,3,1,1,2,2,0,1,0,1,0,1,2,5,8,2,2,3,4,11,3,0,2,3,9
Bra025736,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,1,2,0,0,0
Bra025737,6,2,5,5,0,5,6,2,1,3,1,2,5,0,0,5,7,3,0,1,6,3,6,0,4,16,15,5,3,5,22
Bra025738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Bra025739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025740,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,3
Bra025741,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
Bra025742,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4,1,2,1,1,2,5
Bra025743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,5,0,0,1,5
Bra025744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bra025746,5,3,6,1,1,4,1,7,4,1,1,1,1,1,5,1,5,0,4,3,3,1,0,6,6,7,8,0,4,4,15
Bra025747,0,1,3,0,1,1,4,10,0,2,2,1,3,0,4,2,1,2,0,0,0,0,0,25,0,5,0,0,4,1,3
Bra025748,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4,0,7,1,1,0,1,2,0,5,3,1,0,2,5
Bra025749,2,3,13,9,5,4,12,43,13,5,9,7,13,2,8,6,36,2,7,9,21,9,7,4,9,47,57,4,12,21,55
Bra025750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025751,1,1,1,0,0,1,1,4,1,2,3,0,2,0,3,2,3,2,2,2,3,4,2,1,1,5,11,1,1,1,7
Bra025752,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Bra025753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025754,3,2,2,2,0,0,1,1,2,3,2,0,2,0,0,1,1,2,3,0,5,3,2,0,0,8,7,2,1,2,3
Bra025755,4,1,2,0,1,4,6,8,8,2,1,4,3,0,4,4,5,3,3,1,5,2,1,1,1,11,10,1,0,4,1
Bra025756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0
Bra025757,1,0,0,0,0,0,0,3,1,2,1,0,0,0,2,0,0,1,0,2,0,0,1,1,1,8,4,1,0,1,2
Bra025758,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
Bra025759,5,2,5,3,2,4,5,3,4,3,2,2,2,2,1,4,8,2,7,1,5,3,6,4,4,8,11,5,6,3,10
Bra025760,0,2,0,0,3,2,1,3,4,1,2,1,5,0,8,4,8,4,3,3,5,0,2,1,4,11,10,0,0,1,12
Bra025761,4,3,9,1,1,3,1,2,5,1,2,0,3,2,5,5,7,7,1,4,3,2,1,1,3,9,18,3,3,6,9
Bra025762,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,1,2,3
Bra025763,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0,2,2,1,1,0,0,0,0
Bra025764,1,1,0,4,1,1,1,2,0,1,3,1,0,0,0,0,1,2,2,0,1,2,2,1,1,1,1,3,1,0,2
Bra025765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Bra025766,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bra025767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
Bra025769,1,1,0,0,0,0,1,0,3,1,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,2,2,0,1,0,0
Bra025770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025772,1,7,9,3,0,9,5,5,8,9,6,4,2,6,7,5,12,14,22,6,6,9,1,8,5,18,38,14,13,17,34
Bra025773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025774,0,1,4,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0
Bra025775,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,0,1,0,0,2,2
Bra025777,11,4,8,5,7,10,5,5,21,4,8,4,6,12,9,7,15,13,6,2,8,11,3,5,5,16,19,12,4,9,45
Bra025778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2
Bra025779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025780,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bra025781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025782,0,0,1,0,0,3,0,1,0,1,3,0,2,0,0,0,3,1,1,1,1,0,1,0,2,6,2,1,1,2,8
Bra025783,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Bra025784,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3
Bra025785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025787,0,0,5,1,0,1,1,5,0,0,0,2,0,0,1,2,1,0,1,3,0,1,5,3,3,9,4,1,3,6,19
Bra025788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bra025789,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,3
Bra025790,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,1,1
Bra025791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025792,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,4,10,0,2,0,1
Bra025793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025795,0,0,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
Bra025796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.93,0.77,0,0,0,0,1.66
Bra025797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025798,0,0,1,1,0,2,1,4,4,1,1,1,1,0,0,0,3,2,1,0,0,1,1,1,1.07,2.23,2,1,3,0,4.34
Bra025799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Bra025800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025801,0,2,0,2,0,3,1,4,1,1,2,1,3,0,1,3,4,2,0,1,1,0,1,2,5,15,3,1,3,0,18
Bra025802,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0
Bra025803,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Bra025804,5,9,8.87,3,0,9,7,10,13.96,4,5,2,7,0,2,4,15,3,6.97,7,7,3,3.95,11,8,12,20,4,8,7,18
Bra025805,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2
Bra025806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025807,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Bra025808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025809,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bra025811,2,11,13,7,5,10,12,22,12,17,8,5,6,6,15,8,8,6,4,11,9,5,9,2,4,3,4,7,3,5,16
Bra025812,15,10,15,0,11,24,10,7,20.48,17,9,19,13,6,24,4,41,15,7,19,18,7,28,1,4,29,23,17,12,8,0
Bra025813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025814,0,0,2,1,1,2,1,2,4,0,1,0,1,0,2,2,3,0,0,2,0,4,2,0,1,1,8,1,3,0,18
Bra025815,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Bra025816,0,0,0,0,0,0,0,3,1,2,0,0,0,1,1,0,2,0,1,0,0,0,0,2,1,1,0,0,0,0,7
Bra025817,2,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,4,6,1,0,1,1,6
Bra025818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025819,14,26,30,8,16,16,6,12,32,3,9,16,3,3,7,6,32,14,22,7,21,27,20,3,9,10,115,16,11,31,15
Bra025820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025822,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Bra025823,1,2,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Bra025824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025825,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3
Bra025826,1,1,3,1,1,1,2,5,1,2,3,0,6,0,0,4,2,0,5,2,5,2,1,6,1,4,5,2,5,2,13
Bra025827,3,2,8,1,1,3,2,7,4,4,5,5,2,0,6,5,9,6,1,7,3,1,4,4,6,8,19,1,0,4,22
Bra025828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025830,0,1,1,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,1,1,0,1,1,1,0,3,1,1,0,5
Bra025831,0,1,1,0,0,1,0,2,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,9,7,0,0,1,3
Bra025832,0,0,1,0,0,2,1,0,2,0,0,0,0,0,4,0,5,1,1,0,0,2,0,0,0,1,3,1,0,1,0
Bra025833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025834,1,2,2,1,0,2,2,1,4,0,0,0,2,1,1,1,2,3,1,3,1,3,0,2,1,10,10,0,2,1,4
Bra025835,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,2,1,1,0
Bra025836,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bra025837,1,3,0,0,1,1,3,0,0,0,0,0,0,1,1,1,4,2,0,2,3,1,0,1,4,3,3,2,0,1,6
Bra025838,0,1,2,5,0,2,1,4,2,1,1,2,2,0,2,1,3,2,3,1,2,0,7,3,1,5,9,1,1,4,7
Bra025839,0,0,2,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,3,0,1,1,2,1
Bra025840,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,4
Bra025841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bra025842,1,0,1,2,0,0,2,2,0,2,2,2,2,0,3,1,5,1,2,2,1,2,2,1,2,12,9,2,1,5,19
Bra025843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Bra025844,0,1,1,0,0,2,1,0,1,2,1,0,1,2,0,1,1,1,1,1,2,1,2,1,0,2,0,1,0,0,2
Bra025845,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
Bra025846,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bra025847,1,2,3,1,3,0,1,2,2,3,5,1,1,1,5,1,5,1,2,3,4,3,4,0,1,8,4,1,6,2,1
Bra025848,6,7,8,7,2,6,8,16,28,6,11,7,2,5,12,6,4,13,1,9,16,5,4,7,8,11,36,6,11,11,16
Bra025849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra025850,6,0,2,6,1,65,2,1,0,0,76,4,0,4,18,5,0,53,0,66,1,6,96,12,34,0,0,2,13,103,25
Bra025851,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bra025852,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0
Bra025853,0,0,2,2,0,0,1,1,0,0,0,1,1,0,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
Bra025854,1,1,0,1,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,1,0,2,0
Bra025855,1,0,0,1,0,0,0,2,1,0,3,1,0,0,1,0,3,0,0,0,0,0,0,1,4,1,5,1,0,0,6
Bra025856,5,3,4,3,0,2,3,2,4,2,2,4,0,0,5,3,5,2,8,2,1,2,2,3,5,10,18,0,0,6,14
