"","SRR4417242","SRR4417238","SRR4417240","SRR4417241","SRR4417237","SRR4417239","SRR4417243","SRR4417244"
"Bra017639",299,434,650,310,695,409,573,729
"Bra017640",6,9,19,62,26,13,47,126
"Bra017641",36,26,31,38,95,34,37,108
"Bra017642",1.01,0,0,2.01,0,0,0,16.19
"Bra017643",0,0,0,25.13,0,0,0,64.51
"Bra017644",170,217,292,140,279,249,470,200
"Bra017645",309,567,437,195,282,341,776,374
"Bra017646",478,323,315,439,202,454,1000,1175
"Bra017647",43,29,51,14,48,34,110,0
"Bra017648",0,0,0,0,0,0,0,0
"Bra017649",0,0,0,0,0,0,0,0
"Bra017651",27,14,19,11,34,35,21,49
"Bra017652",0,0,0,0,0,0,0,0
"Bra017653",34,52,37.94,15,29,33,74,39
"Bra017654",0,1,0,0,0,1,0,2
"Bra017655",0,3.16,4.23,0.71,14.14,6.9,3.05,1.85
"Bra017656",0,3,0,0,1,0,2,2
"Bra017657",29,51.33,45,19,40.39,42,71,34.61
"Bra017658",392,413,522,345,604,436,954,480.54
"Bra017659",373,438,693,391,571,459,927,979
"Bra017660",0,0,0,4,0,0,0,5
"Bra017661",78,135,125,59,166,147,163,105
"Bra017662",88,79,83,100.35,108.31,94,222.23,207.31
"Bra017663",6.05,9.08,17.07,21.08,22.04,10.04,17.03,26.08
"Bra017664",2144,2532,3770.61,1655,3634,3767,6156,2510
"Bra017665",25,21,41,9,28,18,52,13
"Bra017666",384,312,289,326,498,517,1070,276
"Bra017667",227.26,272.38,353.87,163.86,374.31,307.21,524.58,257.12
"Bra017668",0,0,1,0,0,0,1,0
"Bra017669",683,836,905,418.03,1281,788.73,1689,612
"Bra017670",44,52,83,25,70,57,138,65
"Bra017671",775,832,1040,646,1039,963,1925,1199
"Bra017672",3709,3540,6433,3162,5518,5126,12352,7675
"Bra017673",0,0,0,0,0,0,0,0
"Bra017674",860.81,991.3,1157.79,958.88,1364.41,1071.84,2530.08,1184.13
"Bra017675",74,95,71,62,70,58,164,77
"Bra017676",25,42,32,25,103,60,123,71
"Bra017677",1,0,1,0,0,0,3,0
"Bra017678",0,0,0,0,0,0,0,0
"Bra017679",0,0,0,0,0,0,0,0
"Bra017680",0,0,0,0,0,0,5,0
"Bra017681",0,0,0,0,0,0,0,0
"Bra017682",2,0,1,1,2,0,2,5
"Bra017683",1,0,1,0,0,1,4,1
"Bra017684",1548,1788,1738,1374,2459,2212,5254,2616
"Bra017685",509,553,570,347,757,933,1179,538
"Bra017686",701,1011,1068,488,1085,1094,2588,952
"Bra017687",70277.47,23608.14,21055.25,18122.33,30835.38,49258.88,53070.52,40744.1
"Bra017688",0,0,0,0,0,0,0,0
"Bra017689",0,0,0,0,0,0,0,0
"Bra017690",0,0,0,0,0,0,0,0
"Bra017691",48,57,65,44,57,57,84,82
"Bra017692",0,0,0,0,0,0,0,0
"Bra017693",2777.38,2977.18,3458.56,4780.59,4501.3,3557.47,6696.53,5572.16
"Bra017694",1,0,0,0,0,0,1,1
"Bra017697",66.26,411.59,450.43,343.51,997.72,734.6,180.29,598.7
"Bra017698",322,322,497,268,561,433,752,516
"Bra017699",3459.54,5527.43,4869.59,2903.41,5429.44,7413.5,13253.04,4280.84
"Bra017700",85.46,101.57,145.41,46.59,114.56,176.5,296.96,95.16
"Bra017701",0,0,0,0,0,0,0,0
"Bra017702",6349,1942,1689.48,1550,2770,3834,4484.57,3013
"Bra017703",1.21,0,0,0,0,0,1.07,1.19
"Bra017704",0,0,0,0,0,0,0,0
"Bra017705",17,45,62,33,78,37,66,45
"Bra017706",7.44,0,2,0,0,1,4,3
"Bra017707",8,7,17,10,25,6,37,30
"Bra017708",0,0,0,1,0,0,0,0
"Bra017709",90.18,131,139.99,82.88,191,144.9,257.85,142.19
"Bra017710",671.87,754.19,992.99,644.74,1252.73,928.51,1977.11,1145.13
"Bra017711",102,140,150,95,158,122,301,159
"Bra017712",88.16,67.28,103.19,77.24,99.26,96.35,264.8,124.38
"Bra017713",184,209,312,235,303,342,840,351
"Bra017714",0,0,0,0,0,0,0,0
"Bra017715",191,252,277,154,340,217,492,283
"Bra017716",154,171,223,142,225,182,452,272
"Bra017717",67,77,103,44,103,87,164,99
"Bra017718",71,81,85,62,125,80,260,106
"Bra017719",19,20,26,11,20,20,45,35
"Bra017720",105,137,173,82,188,144,278.25,196
"Bra017721",0,0,0,0,0,0,0,0
"Bra017722",291,201,223,127,188,181,380,278
"Bra017723",206,301,315,158,505,275,492,380
"Bra017724",32,45,115,59,56,59,131,63
"Bra017725",29,29,117,25,18,20,67,34
"Bra017726",53,71,82,48,203,107,177,163
"Bra017727",0,0,0,0,0,0,0,0
"Bra017728",0,0,0,0,1,0,0,0
"Bra017729",6,0,12,2,1,0,5,2
"Bra017730",1214.99,1064.59,1385.54,869.32,1062.42,871.64,2395.5,1713.7
"Bra017731",0,0,1,0,0,0,0,0
"Bra017732",184,263,292,151,161,284,882,307
"Bra017733",154,184,470.33,234,167,207,318.41,894
"Bra017734",557,651,858,400,931,842,1441,877
"Bra017735",13,6,9,8,19,14,29,20
"Bra017736",24,43,58,34,56,28,63,53
"Bra017737",71,152.42,172,123,238,145,191.25,221
"Bra017738",67,65,74,46,118,90,151,114
"Bra017739",421,162,174,141,286,260,446,155
"Bra017740",37,25,15,16,23,21,18,35
"Bra017741",32,179,308,96,166,169,240,236
"Bra017742",22,15,7,38,11,8,76,71
"Bra017743",131,109,123,150,86,105,367,136
"Bra017744",1449,1359,2140,1789,1616,1433,5345,2397
"Bra017745",1,12,20,17,28,28,41,39
"Bra017746",72,47,72,18,65,102,47,16
"Bra017747",0,1,0,0,0,0,0,0
"Bra017748",0,0,0,0,0,0,0,0
"Bra017749",800.48,893.36,819.24,699.03,1427.21,994.28,1830.64,1360.28
"Bra017750",8,8,19,5,11,9,8,22
"Bra017751",569.27,654.02,867,453,729,727.96,1665,423.18
"Bra017752",427.69,602.66,1009.24,532.56,1337.66,1620.95,1292.23,1555.02
"Bra017753",1169.51,1147.62,1431.32,1255.75,1279.73,982.1,3177.47,2206.06
"Bra017754",3,2,3,3,4,4,7,0
"Bra017755",0,0,0,0,0,0,0,0
"Bra017756",0,0,0,0,0,0,0,0
"Bra017757",346,385,346,349,460,580,993,382
"Bra017758",1519,1857,2517,1151,1942,2031,3915,2271
"Bra017759",14.66,19.95,71.13,12,33.83,49.13,40.4,27.5
"Bra017760",74,94,132,51,148,83,144,97
"Bra017761",12,14,16.02,45.06,2,4,18,36.01
"Bra017762",297.8,304.72,410.42,246.16,410.4,363.5,854.05,531
"Bra017763",21,23.17,26,19,48.12,43,71,43
"Bra017764",6,5,3,2,2,3,6,1
"Bra017765",210,145,130,169,221,250,390,228
"Bra017766",6,4,19,8,14,7,14,12
"Bra017767",417,518,613,351,574,519,1137,710
"Bra017768",12,10,3,20,9,10,10,66
"Bra017769",125,130,255,117,257,211,379,264
"Bra017770",39,31,12,42,32,21,60,68
"Bra017771",115,62,133,66,41,82,503,198
"Bra017772",0,0,0,0,0,0,0,0
"Bra017773",0,0,0,0,0,0,0,0
"Bra017774",26,12,0,20,21,18,52,43
"Bra017775",0,0,0,0,0,0,0,0
"Bra017776",0,0,0,0,0,0,0,0
"Bra017777",0,0,0,0,0,0,0,0
"Bra017778",460,230,221,493,352,254,1022,1210
"Bra017779",174,178,250,136,235,196,385,206
"Bra017780",15,3,5,5,0,3,36,6
"Bra017781",243,295,396,255,367,317,688,382.27
"Bra017782",78,98,175,88,131,105,189,231
"Bra017783",0,0,0,0,0,0,0,0
"Bra017784",0,0,23.21,0,44.5,46.5,0.03,64.49
"Bra017785",5,5,6,3,7,1,11,1
"Bra017786",240,400,350,358,478,438,1005,480
"Bra017787",0,0,0,0,0,0,0,0
"Bra017788",6,20,12,15,20,15,36,14
"Bra017789",15,10,6,24,33,17,54.88,31
"Bra017790",0,0,4,0,2,2,0,0
"Bra017791",9,14.88,8,10,7,8,18.43,22.56
"Bra017792",230,236,215,211,328,216,681,433
"Bra017793",0,0,0,0,0,0,0,1
"Bra017794",0,0,0,0,0,0,0,0
"Bra017795",10,62,299,1,239,124,18,9
"Bra017796",5,0,0,5,2,2,17,20
"Bra017797",0,9,27,0,12,10,0,0
"Bra017798",0,2,9,0,0,1,0,0
"Bra017799",46,73,156,38,44,53,124,100
"Bra017800",25,36,160,23,64,55,56,72
"Bra017801",186,126,217,136,195,145,363,228
"Bra017802",430,473,730,387,666,586,995,680
"Bra017803",161,99,106,119,130,110,433,269
"Bra017804",1,0,0,0,2,0,0,0
"Bra017805",0,0,0,0,0,0,0,0
"Bra017806",0,0,0,0,0,0,0,0
"Bra017807",0,0,0,0,0,0,0,0
"Bra017808",269,417,484,264,498,474,1073,928
"Bra017809",697,814,1095,471,917,826,1950,987
"Bra017810",100,138,283,23,172,154,313,61
"Bra017811",10,20,23,15,13,24,36,30
"Bra017812",0,0,0,0,0,0,0,0
"Bra017813",17,9,35,8,15,16.01,51,21
"Bra017814",0,0,0,0,0,0,0,0
"Bra017815",0,6,8,2,2,3,4,4
"Bra017816",4,2,5,0,5,4,14,0
"Bra017817",36,23,3,89,40,31,83,118
"Bra017818",365,190,469,144,98,116,641,208
"Bra017819",1359,2326,3428,1432,2196,1437,3250,2511
"Bra017821",1,2,1.5,0,1.5,1,1.5,3
"Bra017822",1,2,1.5,0,1.5,1,1.5,3
"Bra017823",167,253,259,302,593,269,586,393
"Bra017824",0,13,0,2,5,18,5,1
"Bra017825",1,2,1,2,4,5,4,2
"Bra017826",237,432,522,465,643,504,811,393
"Bra017827",0,0,0,0,0,0,0,0
"Bra017828",0,0,0,0,0,0,0,0
"Bra017829",0,0,0,0,0,0,0,0
"Bra017830",31,14,24,19,31,19,31,52
"Bra017831",67,29,33,26,74,50,249,78
"Bra017832",0,0,0,0,0,0,0,0
"Bra017833",0,0,0,0,0,0,0,0
"Bra017835",11,3,7.88,7,4,8.67,9,9.64
"Bra017836",3,0,0,0,5,8,2,18
"Bra017837",333,552,483,383,797,566,845,645
"Bra017838",77,72,112,65,107,81,139,106
"Bra017839",253,71,192,96,127,188,414,186
"Bra017840",82,84,84,50,110,75,172,103
"Bra017841",964,819,770,603,1229,874,1696.62,1310.45
"Bra017842",149,194,147,98,309,208,290,214
"Bra017843",59,85,102,45,125,89,171,91
"Bra017844",114.67,67,128.55,43,111,91,226.37,111.47
"Bra017845",0,0,0,0,0,0,0,0
"Bra017846",561,278,212,278,338,417,597,378
"Bra017847",30,23,54,9,31,16,57,9
"Bra017848",4,8,1,12,1,0,10,6
"Bra017849",0,0,1,0,0,0,0,0
"Bra017850",10,4,17,5,15,16,26,7
"Bra017851",54.85,44.82,41.79,26,46,36.1,100,53.47
"Bra017852",102,116.77,81.11,67,177,109,144.64,155.75
"Bra017853",453.73,417.44,595.48,309.24,495.67,538.76,951.79,695.08
"Bra017854",0,0,0,0,0,0,0,0
"Bra017855",435,317,1059,65,491,454,1124,71
"Bra017856",221.13,239.86,354.65,327.97,43.22,519.81,1258.73,622.71
"Bra017857",52,69,61,100,119,96,148,138
"Bra017858",0,0,0,0,0,0,0,0
"Bra017859",166,152,287,124,232,209,531,222
"Bra017860",0,2,1,0,1.01,1.01,4.01,2.02
"Bra017861",2,0,2,0,2,2,1,0
"Bra017862",0,2,3,0,2.41,0.26,1,0
"Bra017863",0,0,1,0,0,0,0,0
"Bra017864",0,0,0,0,0,0,0,0
"Bra017865",2,0,4,0,0,2,1,0
"Bra017866",0,0,0,0,0,0,0,0
"Bra017867",0,0,0,0,0,0,0,0
"Bra017868",0,0,0,0,0,0,0,0
"Bra017869",0,0,0,0,0,0,0,2
"Bra017870",15,34,13,34,24,30,32,68
"Bra017871",1,8,92.9,7,0,11,10,1
"Bra017872",42,182.82,125.14,112,94.34,79,218,101.88
"Bra017873",148,169,147,172,253,178,379,293
"Bra017874",6,4,6.89,2.69,2,4.63,6,7
"Bra017875",13,3,26.11,16.31,2,8.37,18,17
"Bra017876",11,34.12,57,20,41.08,32,65.15,33
"Bra017877",1351,559,745,382,737,830,1360,661
"Bra017878",4.03,2.01,0,4.12,0,6.02,8.05,5.03
"Bra017879",39,24,88,21,42,31,119,34
"Bra017880",0,0,0,0,0,0,0,0
"Bra017881",688,639,814,503,869,718,1684,806
"Bra017882",0,0,2,0,0,1,0,0
"Bra017883",5,0,1,0,4,1,3,3
"Bra017884",0,0,0,0,0,0,0,0
"Bra017885",0,0,0,0,0,0,0,0
"Bra017886",0,0,0,0,0,0,1,0
"Bra017887",19,12,34,0,14,16,34,0
"Bra017888",319.57,255.3,797.68,9,377.55,371.49,845.95,52.04
"Bra017889",71,89,105,52,102,67,186,100
"Bra017890",0,0,0,0,0,0,0,0
"Bra017891",548.6,525.75,558.6,410.29,627.74,663.45,1144.07,953.19
"Bra017892",0,0,0,4.24,2.97,0,0,0
"Bra017893",0,0,0,0,0,0,0,0
"Bra017894",117.67,68.8,95.64,31.01,57.37,123.92,255.92,111.11
"Bra017895",0,0,0,0,0,0,0,0
"Bra017896",0,0,0,0,0,0,0,0
"Bra017897",383.56,345.79,453.01,284.75,514.27,476.68,847.49,531.76
"Bra017898",16,40,16,15,63,48,58,27
"Bra017899",71,43,75,63,81,50,176,96
"Bra017900",0,0,0,0,0,0,0,0
"Bra017901",650.31,552.67,747.57,531.85,805.65,726.28,1536.11,888.98
"Bra017902",0,0,0,0,0,0,0,0
"Bra017903",0,0,0,0,0,0,0,0
"Bra017904",0,0,0,0,0,0,0,0
"Bra017905",207,157,241.02,205,170,182,518,249
"Bra017906",2,1,1,2,2,0,1,4
"Bra017907",134,111,154,99,118,102,202,130
"Bra017908",8,1,4,4,0,2,19,13
"Bra017909",178,207,266,173,243,203,443,295
"Bra017910",335,358.69,525.29,270,398.29,347.08,888,471.83
"Bra017911",24,26,65,13,34,18,30,22
"Bra017912",3456.99,2250,3251,2124,2225,2420,7686,4971
"Bra017913",1,0,0,0,0,0,1,0
"Bra017914",350,435,567,410,469,375,726,506
"Bra017915",294,319,492,234,428,342,695,409
"Bra017916",4432.28,4060.63,4572.92,2946.66,4365.75,4616.51,15454.59,9943.65
"Bra017917",0,0,0,0,0,0,0,0
"Bra017918",278,201,331.33,198,292.25,259.29,613.84,395
"Bra017919",111,107,159,110,142,130,322.29,169.23
"Bra017920",396,115,201,36,87,98,281,125
"Bra017921",9,11,5,11,12,8,24,12
"Bra017922",0,1,0,0,0,1,0,1
"Bra017923",0,0,1,1,3,0,0,1
"Bra017924",0,0,1,0,0,0,0,1
"Bra017925",65,149,120,75,307,282,366,227
"Bra017926",131,139,150.5,222.5,186.5,24,67.46,709
"Bra017927",7,0,37,13,2,1,17,32
"Bra017928",67,63,56,57,92,49,152,79
"Bra017929",830.46,825.98,1212.27,743.88,1183.58,1098,2549.45,1346.87
"Bra017930",8,12,7,16,7,6,90,26
"Bra017931",516,305,532,271,298,284,1302,871
"Bra017932",369,613,620,442,782,726,1181,539
"Bra017933",727.57,599.77,688.79,490.35,860.27,866.29,1794.53,1012.75
"Bra017934",1519,1762,1774,1559,1661,1907,4205,2505
"Bra017935",457,275,361,256,338,340,829,534
"Bra017936",23,42,40,22,63,56,63,46
"Bra017937",540,351,403,296.65,618,636,1012.54,756.87
"Bra017938",0,0,0,0,0,0,0,0
"Bra017939",43,36,36,23,39,47,71,40
"Bra017940",1744,1743,2420,2080,2973,2347,4531,3181
"Bra017941",175,204.61,216.56,119,259.28,251.32,379,239.54
"Bra017942",2,1,14,3,8,4,6,8
"Bra017943",483,467,556,310,870,597,622,369
"Bra017944",131,121,136,107,226,100,355,188
"Bra017945",244.39,253.25,321.3,249.89,358.82,261.77,807.57,483.88
"Bra017946",221,190,228,168,290,221,625,362
"Bra017947",232,207,259,193,412,307,585,340
"Bra017948",13,6,6,8,7,7,5,7
"Bra017949",479,472,590,414,523,514,1389,738
"Bra017950",343,435,715,304,568,460,811,653
"Bra017951",395,414,494,328,409,440,978,610
"Bra017952",369,382,453,349,459,445,1037,531
"Bra017953",347.96,375.79,448.02,317.42,415.34,353.06,793.53,523.48
"Bra017954",0,0,0,0,0,1,0,0
"Bra017955",0,0,2,1,0,0,0,4
"Bra017956",214,228,211,225,300,241,585,331
"Bra017957",0,2,14,3,4,4,0,0
"Bra017958",61,72,53,48,99,52,198,113
"Bra017959",150,144,167,141,238,178,470,201
"Bra017960",236,230,335,266,296,243,744,414
"Bra017961",33,48,33,27,56,48,74,48
"Bra017962",1,0,0,0,0,0,0,1
"Bra017963",137,0,0,105,1,0,199,170
"Bra017964",381,445,492,334,559,489,934,485
"Bra017965",0,0,0,0,0,0,0,0
"Bra017966",359.02,194.34,303.61,235.41,220.92,210.54,23.83,249.82
"Bra017967",282.98,276.33,415.9,238.51,354.46,313.69,760.7,468.1
"Bra017968",8,2,6,3,3,1,10,7
"Bra017969",43,27,17,27,35,38,320,115
"Bra017970",0,0,0,0,0,0,2,1
"Bra017971",960,851,1101,801,1202,912,1912,1509
"Bra017972",503,459,580,349,843,584,1748,887
"Bra017973",0,0,0,0,0,0,2,1
"Bra017974",7,8,6,8,18,4,0,0
"Bra017975",17,24,24,12,47,7,38,17
"Bra017976",386,480,614,396,624,542,1204,664
"Bra017977",38461,13143,12485,10239,17234,26724,28756,22343
"Bra017978",2,0,3,1,6,0,0,0
"Bra017979",0,0,0,0,0,0,0,0
"Bra017980",332,314,515,296,522,395,654,467
"Bra017981",427,353,477,313,499,382,573,480
"Bra017982",0,0,0,0,1,0,0,0
"Bra017983",0,0,0,0,0,0,0,0
"Bra017984",0,0,0,0,0,0,0,0
"Bra017985",7,0,0,8,0,0,10,16
"Bra017986",407,427,547,324,708,474,1464,945
"Bra017987",301,202,258,200,274,218,732,521
"Bra017988",10,2,1,6,1,1,65,41
"Bra017989",22,26,53,16,55,40,24,29
"Bra017990",0,0,0,0,0,0,0,0
"Bra017991",0,1,1,0,0,0,3,4
"Bra017992",14,5,8,9,18,12,12,22
"Bra017993",0,0,0,0,0,0,0,0
"Bra017994",19,3,4,13,3,3,42,23
"Bra017995",5,3,4,1,2,1,3,3
"Bra017996",61,101,119,64,151,102,196,143
"Bra017997",179,175,155,166,320,181,442,297
"Bra017998",166,176,227,128,267,169,385,264
"Bra017999",26,24,32,16,25,22,3,26
"Bra018000",950,1013,1414,890,1810,1648,2067,1464.94
"Bra018001",134.56,144.44,177.63,122.39,138.23,203.74,297.75,193.37
"Bra018002",1,3,8,0,4,3,55,20
"Bra018003",164,246,242,159,265,264,402,223
"Bra018004",619,102,114,112,186,187,225,349
"Bra018005",642,767,894,624,740,801,1718,894
"Bra018006",643,584,1219,648,361,681,1063,857
"Bra018007",282,170,214,257,196,201,1026,551
"Bra018008",55,59,92,45,113,79,105,75
"Bra018009",225,334,312,211,525,327,659,416
"Bra018010",1,1,0,0,0,2,1,0
"Bra018011",0,0,0,0,0,0,0,3
"Bra018012",14,7,12,17,35,23,44,51
"Bra018013",682.53,518.7,735.03,457,793.38,713.94,1345,959
"Bra018014",3,4,12,5,6,8,21,10
"Bra018015",7,3,5,5,13,2,18,10
"Bra018016",139,138,193,109,195,140,423,238
"Bra018017",923,1235,1287,727,1958,1236.47,2475.84,1820.49
"Bra018018",0,0,0,0,0,0,0,0
"Bra018019",2777,4121,4645,2242,3188,4021,12026,5197
"Bra018020",0,0,1,0,0,1,0,0
"Bra018021",202,106,91,79,193,137,213,194
"Bra018022",15,24,18,18,44,26,23,26
"Bra018023",89,42,52,26,63,47,81,70
"Bra018024",0,0,0,0,0,0,0,0
"Bra018025",0,0,2,0,0,0,0,0
"Bra018026",812,861,995.47,529,1257,813.2,1511.27,1153.16
"Bra018027",73,77,122,37,35,151,318,224
"Bra018028",817,968,1375,780,1388,964,2635,1403.87
"Bra018029",158.94,37,37.13,168.21,21,30,406.29,460.65
"Bra018030",1490.31,1313.31,1394.2,1138.37,1635.38,1400.01,3943.26,2698.06
"Bra018031",597,743,938,520,1087,811,1904,1041
"Bra018032",30,31,52,25,49,43,73,38
"Bra018033",0,0,0,0,0,0,1,0
"Bra018034",0,0,1,0,0,0,0,0
"Bra018035",331,257,390,218,361,295,809,483
"Bra018036",293,269,443,235,446,354,819,389
"Bra018037",141,118,170,95,165,107,344,250
"Bra018038",0,0,0,0,0,0,0,0
"Bra018039",1926.45,2490.12,2841.78,1840.1,2096.75,2157.04,5756.46,4167.73
"Bra018040",4.17,9,34,20,9,8,25,7.54
"Bra018041",0,0,1,0,0,0,1,0
"Bra018042",325,576,605,339,695,642,938,495
"Bra018043",1240,1246.84,1607.46,956.09,1623.42,1255,2647.89,2028.56
"Bra018044",176,140,218,134,143,153,375,254
"Bra018045",152,89,129.26,116,134.5,93.18,252.75,169.63
"Bra018046",381,300,531,422,392,466,1353,579
"Bra018047",54,45,65,36,85,54,109,56
"Bra018048",5,8,9,4,8,9,24,6
"Bra018049",41,98,83,54,102,89,151,55
"Bra018050",497.93,232,456.76,385.74,297,298.38,898.28,801.59
"Bra018051",0,7,13,1,14,2,25,4
"Bra018052",0,0,0,0,0,0,1,0
"Bra018053",0,0,0,0,0,0,0,0
"Bra018054",0,0,0,0,0,0,0,0
"Bra018055",18,4,3,3,6,5,11,15
"Bra018056",4,2,8,2,3,6,10,1
"Bra018057",13.2,17.44,42.31,46.02,34.93,21.33,63,55.52
"Bra018058",6,3,3,2,0,2,9,5
"Bra018059",98,113,133,99,174,150,302,224
"Bra018060",427,424,532,377,812,566,1087,669
"Bra018061",56,70,76,26,119,59,128,80
"Bra018062",799,909,974,954,799,925,1916,953
"Bra018063",42,10,66,52,45,4,111,164
"Bra018064",345,325,367,228,460,393,712,457
"Bra018065",131,124,202,131,79,143,974,196
"Bra018066",78,52,57,89,72,61,245,191
"Bra018067",2361,3457,3319,1996,3899,1847,2713,4008
"Bra018068",131,165,234,100,205,155,362,212
"Bra018069",0,0,1,0,0,1,1,0
"Bra018070",1,2,1,0,4,4,5,2
"Bra018071",204,155,266,100,360,293,348,202
"Bra018072",4,2,2,5,4,4,1.05,1
"Bra018073",31.34,17.19,36.77,22.97,36.82,25.71,49.93,21.8
"Bra018074",16,9,3,1,4,14,5,0
"Bra018075",0,0,0,0,0,0,0,0
"Bra018076",3,1,4,1,1,0,4,9
"Bra018077",0,0,0,0,0,0,0,0
"Bra018078",873,739,1040,888,1071,956,1957,1397
"Bra018079",139,142,157,86,183,157,281,186
"Bra018080",60,63,53,23,95,51,123,71
"Bra018081",86,109,107,37,156,95.71,231.51,146
"Bra018082",892,1063,1548,945,1410,1331,2785,1530
"Bra018083",125,98,147,107,152,150,266,188
"Bra018084",8,3,14,3,5,13,35,11
"Bra018085",402,493,614,338,553,461,842,591
"Bra018086",255,250,279,241,283,287,493,281
"Bra018087",104,112,102,58,129,113,196,130
"Bra018088",38,36,94,25,44,25,76,36
"Bra018089",103,67,77,61,57,88,144,84
"Bra018090",960.87,931.29,2157.54,1549.12,1807.43,1558.26,2141.78,1111.08
"Bra018091",238,233,275,176,281,276,631,333
"Bra018092",0,0,0,0,0,0,1,0
"Bra018093",0,0,0,0,0,0,0,0
"Bra018094",0,0,0,0,0,0,0,0
"Bra018095",0,0,0,0,0,0,0,0
"Bra018096",597.5,937,1437,985,931,1080.84,2341,1287
"Bra018097",679.54,677.81,738.88,474.21,949.59,775.65,1507.1,874
"Bra018098",0,0,0,0,0,0,0,0
"Bra018099",390,276,398,230,434.74,381,664,401.79
"Bra018100",352,511,565,348,715,494,1106,697
"Bra018101",787.46,1040.19,1202.12,685.79,1529.41,1211.35,2854.9,1752
"Bra018102",2,0,1,2,2,10,2,1
"Bra018103",92,83,71,76,193,111,231,155
"Bra018104",152,137,163,89,144,166,295,178
"Bra018105",40,47,61,30,67,52,90,72
"Bra018106",338,489,535,275,522,614,819,447
"Bra018107",0,0,36,24,23,0,60,74
"Bra018108",7,16,17,9,12,15,18,26
"Bra018109",0,0,0,0,0,0,0,0
"Bra018110",306,370,427,280,454,368,780,450
"Bra018111",560,465,539,348,659,633,1152,689
"Bra018112",1297,2182,1483,1109,1360,2687,4265,874
"Bra018113",546,1401,809,482,854,1292,1518,388
"Bra018114",0,2,2,0,0,0,0,4
"Bra018115",7,10,14,33,16,5,48,37
"Bra018116",552,609,864,479,702,581,1483,1011
"Bra018117",0,0,0,0,0,0,0,0
"Bra018118",1,0,2,3,2,2,4,2
"Bra018119",673,645,830,510,888,804,1624,995
"Bra018120",107,90,108,54,123,94,211,94
"Bra018121",26,2,12,10,46,42,48,29
"Bra018122",100,167,261,157,153,192,480,287
"Bra018123",279,130,302,191,240,137,566,296
"Bra018124",0,0,0,0,0,0,0,0
"Bra018125",33.35,6.03,49.86,24.22,38.33,4.05,92.38,94.23
"Bra018126",179,241,235,174,262,242,456,260
"Bra018127",394,351,568,283,495,451,881,521
"Bra018128",164,71,191,72,139,105,200,248
"Bra018129",163,195,109,125,135,166,403,232
"Bra018130",9,0,297,115,359,0,32,237
"Bra018131",1,0,2,3,0,0,0,0
"Bra018132",0,0,2,1,0,0,2,2
"Bra018133",489.14,520.27,577.22,384.91,619.79,457.65,1340.64,782.5
"Bra018134",16.09,6,8.73,2,4,4,13.02,16.6
"Bra018135",0,3.41,37.32,4.89,19.04,0,0.54,64.34
"Bra018136",492,462,646,358,502,465,1067,678
"Bra018137",578,891,929,634,1202,1026,2270,1268
"Bra018138",13,12,14,13,6,6,97,93
"Bra018139",0,0,0,0,0,0,0,0
"Bra018140",0,0,0,0,0,0,0,0
"Bra018141",357,411,430,193,403,394,1026,356
"Bra018142",68,82,89,95,152,111,239,131
"Bra018143",1,0,27,2,6,2,1,7
"Bra018144",8443,6904,5350,2488,4138,4980,11323,5131
"Bra018145",217,182,202,129,378,215,466,313
"Bra018146",0,0,0,0,0,0,0,0
"Bra018147",435,597,741,572,730,613,1407,753
"Bra018148",10,6,16,10,17,23,10,14
"Bra018149",105,93,161,172,126,158,198,115
"Bra018150",1067,1143,1676,977,1220,952,1918,1762
"Bra018151",72,32,43,29,50,54,30,18
"Bra018152",0,1,1,6,8,2,3,9
"Bra018153",192,215,251,205,269,288,456,252
"Bra018155",2,18,42,23,66,18,4,100
"Bra018156",1,10,13.14,9,15,8,0,34
"Bra018157",41,36,90,33,55,31,49,45
"Bra018158",0,0,4,0,1,0,4,0
"Bra018159",15,7,0,2,18,16,43,5
"Bra018160",620,178,265,395.97,476,260,676,703
"Bra018161",120,221,78,97,117,150,416,267
"Bra018162",347,461,650,420,435,483,1536,850
"Bra018163",198,189,256,141,252,233,409,293
"Bra018164",26,42,66,17,58,58,86,71
"Bra018165",0,0,0,0,0,2,1,0
"Bra018166",0,0,0,0,0,0,0,0
"Bra018167",0,0,0,0,0,0,0,0
"Bra018168",345,127,159,155,176,165,430,379
"Bra018169",329,216,331,333,316,368,541,377
"Bra018170",672,906,971,596,970,1010,1921,999
"Bra018171",0,0,0,25,0,1,0,37
"Bra018172",1,4,4,4,6,2,29,4
"Bra018173",0,0,0,0,0,0,0,0
"Bra018174",0,0,0,0,0,0,1,0
"Bra018175",876,483,1239,460,1401,700,2432,1135
"Bra018176",2,8,4,5,19,12,21,6
"Bra018177",105,74,202,108,221,72,356,249
"Bra018178",41,38,85,61,63,46,165,136
"Bra018179",177,188,218,175,249,209,510,268
"Bra018180",2413,3923,4629,2399,3540,3603,7909,4134
"Bra018181",629,601,648,450,802,670,1674,982
"Bra018182",47,61,50,22,62,54,86,60
"Bra018183",2949,1177,1144,796,1683,2799,2320,2181
"Bra018184",1550.05,2040.86,2179.16,1522.71,3672.4,2015.24,4516.41,2976.19
"Bra018185",0,0,0,0,0,1,0,0
"Bra018186",5,1,7,1,7,6,12,3
"Bra018187",80,147,118,71,129,126,233,129
"Bra018188",11,4,3,2,5,0,7,10
